date,rule,return,overnight,intraday,netvalue,confirmed_1457,close_has_signal,ret_overnight,ret_intraday,ret_total,month
2022/6/30,11,0.001991908,0,0.001991908, 1.0020 ,TRUE,TRUE,0,0.001991908,0.001991908,Jun-22
2022/7/1,0,0,0,0, 1.0020 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/4,0,0,0,0, 1.0020 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/5,29,0.018136673,0.00409295,0.013986478, 1.0201 ,TRUE,TRUE,0.00409295,0.013986478,0.018136673,Jul-22
2022/7/6,6,0.001777315,0.000363612,0.00141319, 1.0219 ,TRUE,TRUE,0.000363612,0.00141319,0.001777315,Jul-22
2022/7/7,0,0,0,0, 1.0219 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/8,43,0.009615082,0,0.009615082, 1.0315 ,TRUE,TRUE,0,0.009615082,0.009615082,Jul-22
2022/7/11,5,0.008324905,-0.001152871,0.009488715, 1.0398 ,TRUE,TRUE,-0.001152871,0.009488715,0.008324905,Jul-22
2022/7/12,43,-6.41046E-05,0,-6.41046E-05, 1.0398 ,TRUE,TRUE,0,-6.41E-05,-6.41E-05,Jul-22
2022/7/13,0,0,0,0, 1.0398 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/14,0,0,0,0, 1.0398 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/15,1,0.018386175,0,0.018386175, 1.0582 ,TRUE,TRUE,0,0.018386174636174424,0.018386174636174424,Jul-22
2022/7/18,40,0.00277512,0.000797448,0.001976096, 1.0609 ,TRUE,TRUE,0.000797448,0.001976096,0.00277512,Jul-22
2022/7/19,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/20,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/21,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/22,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/25,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/26,0,0,0,0, 1.0609 ,FALSE,TRUE,0,0.004850341,0.004850341,Jul-22
2022/7/27,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/28,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
2022/7/29,0,0,0,0, 1.0609 ,FALSE,FALSE,0,0,0,Jul-22
